Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Моб. ном. телефону,Email
Цимбал,Арсен,Едуардович,Ч,14.05.2000,Електротехнік,село Боково-Хрустальне,"шосе Лазурний 2-й, буд. 1, Гірське, 23210",+380 (31) 628-56-07,arsenbabiak@example.org
Бабиченко,Остап,Сергійович,Ч,09.10.1948,Диригент,місто Полтава,"провулок Шкіперська, буд. 8, Галич, 72088",+380 (40) 755-20-12,gkopytko@example.org
Вівчаренко,Михайло,Андрійович,Ч,28.09.1985,Реабілітолог,місто Коростишів,"узвіз Віри Інбер, буд. 510 кв. 94, Ходорів, 50977",019 119-83-12,ivan56@example.com
Ющенко,Прохір,Сергійович,Ч,12.02.1994,Слідчий,село Сватове,"набережна Гагаріна, буд. 902 кв. 8, Слов'янськ, 53841",+380 95 543-42-55,larysabezborodko@example.com
Рудик,Алевтин,Андрійович,Ч,11.11.1957,Диригент,місто Подільськ,"парк Романа Кармена, буд. 2, Радехів, 78253",320-98-21,marta08@example.net
Прокопович,Мілена,Дмитрівна,Ж,17.06.1986,Гірничий інженер,село Сіверськ,"площа Мостовий, буд. 268 кв. 662, Ізюм, 21951",+380 93 662 85 48,larysagereta@example.com
Засуха,Владислав,Михайлович,Ч,07.06.2000,Кінокритик,місто Чигирин,"сквер Василя Кандинського 2-й, буд. 155 кв. 7, Сторожинець, 05714",103 27 05,myron81@example.com
Ященко,Ярослав,Богданович,Ч,21.02.1964,Фармацевт,хутір Путивль,"шосе Польський узвіз, буд. 0, Тернівка , 52998",208-87-08,hanna18@example.net
Матяш,Ганна,Володимирівна,Ж,27.06.1961,Кінокритик,місто Горішні Плавні,"провулок Самарська, буд. 6 кв. 143, Сулимівка (Слов'янськ), 38057",+380 47 430 63 85,abrahamovskyiliudmyla@example.org
Скиба,Леонтій,Єгорович,Ч,21.09.1944,Математик,селище Чорнобиль,"проспект Бригадна, буд. 30, Устилуг, 26604",061 438-55-93,babychklavdiia@example.net
Щорс,Леонтій,Богданович,Ч,24.11.1947,Геофізик,місто Монастирище,"сквер Садова 1-ша, буд. 536, Білогірськ, 68706",+380 12 011 02 57,vlasenkofedir@example.net
Ємець,Ірина,Дмитрівна,Ж,30.06.1960,Музичний редактор,місто Хмільник,"вулиця Богдана Хмельницького, буд. 478, Гайсин, 68441",+380 03 234 73 44,ciarosh@example.net
Гриценко,Йосип,Андрійович,Ч,29.08.1948,Локсмайстер,село Дніпрорудне,"сквер Локомотивний 4-й, буд. 50 кв. 052, Буча, 92440",+380 78 224-49-37,shelestleopold@example.net
Оробець,Оксана,Володимирівна,Ж,15.08.1986,Петрограф,село Звенигородка,"парк Соціальна, буд. 38 кв. 5, Христинівка, 91961",765-49-19,smykhailychenko@example.org
Чміль,Пріска,Петрівна,Ж,16.09.1959,Дерун,хутір Біляївка,"вулиця Слєпньова, буд. 249 кв. 801, Корюківка, 77924",712-35-12,pzabarnyi@example.net
Шморгун,Світлана,Дмитрівна,Ж,19.10.1960,Дантист,селище Саки ,"шосе Лінія 55-та, буд. 05, Попасна, 30621",691 64 76,romanturkalo@example.com
Чуприна,Аліна,Михайлівна,Ж,04.10.2002,Фармацевт,селище Мала Виска,"набережна Крилова, буд. 105, Богуслав, 94820",037 979 14 82,liliia74@example.com
Павленко,Спас,Єгорович,Ч,06.12.1961,Електромонтер,хутір Перевальськ,"набережна Сумський, буд. 460 кв. 942, Тальне, 97935",024 07 86,avreliigoliash@example.net
Перебийніс,Ірена,Дмитрівна,Ж,24.06.1985,Ювелір,хутір Перемишляни,"проспект Добровольського, буд. 93, Борислав, 75271",498-74-38,ctereshchenko@example.net
Артеменко,Опанас,Єгорович,Ч,18.06.1948,Промисловець,хутір Хрестівка,"узвіз Цементний, буд. 575, Василівка , 71813",+380 56 271-52-79,mykolaihavrylyshyn@example.com
Лубенець,Веніямин,Сергійович,Ч,12.08.1972,Гірник,село Миронівка,"провулок Лесі Українки, буд. 6, Сарни, 85135",780 87 00,venhrynovychsemen@example.com
Базавлученко,Панас,Володимирович,Ч,26.09.1965,Доцент,місто Помічна,"площа Балтська дорога, буд. 1 кв. 05, Броди, 23533",+380 80 227-11-66,bsemenchenko@example.net
Гриценко,Микита,Андрійович,Ч,27.12.1969,Бібліограф,селище Алупка,"проспект Шоста, буд. 40 кв. 8, Попасна, 04006",956 65 55,iarema69@example.net
Бевзенко,Святослав,Богданович,Ч,13.01.1958,Економіст,селище Іллінці,"площа Скляна, буд. 7 кв. 382, Білогірськ, 74444",+380 (62) 109-29-99,oberemkoiarema@example.com
Дубина,Михайлина,Богданівна,Ж,06.03.1996,Публіцист,хутір Балаклія,"набережна Студентський 3-й, буд. 65 кв. 1, Тараща, 74079",+380 (71) 006-63-42,zharkoostap@example.com
Гаврилець,Валентина,Дмитрівна,Ж,26.12.1986,Няня,місто Деражня,"парк Єліна, буд. 4, Інкерман, 15977",+380 (71) 073-48-36,ymykytiuk@example.com
Оліфіренко,Франц,Едуардович,Ч,15.02.1984,Детектив,місто Новомосковськ,"парк Військовий узвіз, буд. 87, Ромни, 33113",+380 70 612 64 87,tereza16@example.com
Гресь,Костянтин,Володимирович,Ч,06.11.1977,Зоолог,хутір Петрово-Красносілля,"парк Благовидової, буд. 70, Ворожба, 90854",057 159-89-98,arsen04@example.net
Міщенко,Борислав,Петрович,Ч,12.10.1948,Пекар,місто Подільськ,"вулиця Магістральна, буд. 085, Ясинувата, 30157",018 460-84-21,oksana05@example.org
Гунько,Макар,Богданович,Ч,24.02.1944,Акушер,селище Чернігів,"проспект Глиняна, буд. 773, Курахове, 59163",088 637 40 97,bazhazha@example.org
Забіла,Семен,Сергійович,Ч,24.06.2005,Гицель,хутір Прилуки,"набережна Юхима Геллера, буд. 75 кв. 7, Сватове, 30939",028 097 60 30,qudovenko@example.org
Макогон,Варфоломій,Едуардович,Ч,22.05.2005,Драматург,селище Кобеляки,"набережна Чапаєва, буд. 868, Роздільна, 84638",+380 99 937 96 98,uvashchenko-zakharchenko@example.org
Баклан,Адам,Петрович,Ч,27.03.1991,Астрофізик,селище Стебник,"узвіз Змієнка Всеволода, буд. 9, Олевськ, 29875",+380 97 430 88 50,sachenkoarkadii@example.net
Єрмоленко,Дан,Сергійович,Ч,04.03.1999,Кур'єр,село Зіньків,"площа Зелена гірка, буд. 3 кв. 2, Білогірськ, 94172",130-82-99,halyna44@example.net
Деркач,Венедикт,Андрійович,Ч,22.08.1990,Кіноактор,село Южноукраїнськ,"площа Ромашкова, буд. 278 кв. 0, Карлівка, 18374",854 87 71,holykliudmyla@example.net
Ільченко,Едита,Едуардівна,Ж,10.06.1987,Круп'є,селище Краматорськ,"проспект Небесної Сотні, буд. 976, Саки , 68279",068 097 45 55,makarenkovarfolomii@example.net
Петрик,Зорян,Єгорович,Ч,28.03.1997,Електрик,місто Сватове,"вулиця Миколи Боровського, буд. 7 кв. 168, Макіївка, 27214",028 478 55 42,itryhub@example.com
Дзюба,Роман,Петрович,Ч,18.11.1994,Краєзнавець,хутір Біла Церква,"сквер Василя Симоненка, буд. 5 кв. 09, Лиман , 74099",064 135-90-08,mariia47@example.net
Ватаманюк,Антон,Дмитрович,Ч,27.04.1956,Археолог,місто Бунге ,"проспект 7-ма Суворовська, буд. 09, Борзна, 89049",+380 92 363-13-45,lavrenkosofiia@example.com
Кибкало,Галина,Сергіївна,Ж,07.02.1975,Секретар,місто Ніжин,"шосе Нерубайська, буд. 869, Дрогобич, 23109",+380 27 326 59 81,elavrenko@example.com
Яценюк,Ярослав,Едуардович,Ч,27.06.1975,Соціолог,селище Дебальцеве,"узвіз Преображенська, буд. 8, Лисичанськ, 40457",+380 (39) 832-31-12,kovaliukmilena@example.net
Сомко,Ганна,Андріївна,Ж,22.07.1941,Педагог,село Алмазна,"вулиця Лермонтовський, буд. 660, Рені, 14254",+380 (34) 937-01-33,mvoblyi@example.org
Бабʼюк,Тетяна,Андріївна,Ж,24.11.1999,Зоолог,місто Кременець,"набережна Косяченка Олексія, буд. 75 кв. 93, Кривий Ріг, 89938",+380 (43) 424-10-62,udovychenkoiosyp@example.com
Аврамчук,Олесь,Богданович,Ч,28.09.1963,Маркетолог,селище Соледар,"парк Ползунова 2-й, буд. 4 кв. 592, Фастів, 18089",444 60 46,zmasokha@example.net
Забашта,Болеслав,Володимирович,Ч,11.11.1993,Композитор,хутір Сколе,"площа Матроський узвіз, буд. 9, Вільнянськ, 62901",754-27-02,danna90@example.net
Забашта,Марина,Богданівна,Ж,15.06.1947,Диригент,селище Ірміно,"шосе Палія Семена, буд. 754, Бердянськ, 68575",047 497-58-05,valentynadanylenko@example.com
